;;;;;;;
;цена в меню;;;цена меню;;;цена меню
Вино (бут.);;;Ром(50мл);;;Милкшейк ;
Niko Pirosmani Киндзмараули кр.п/сл ;;;Havana club 3YO;1690;;Ванильный/шоколадный/клубничный;
Jacob's Creek Shiraz Cabernet кр.п/сух;;;Bacardi Carta Blanca/Negra;1890;;Лимонад (1л);
Pavao Loureiro б.п/сух;;;Джин;;;;
Brancott Estate Pinot Noir кр.сух;18000;;Beefeater;1700;;Ягодный;3000
Campo Viejo Blanco б.сух;14000;;Пиво Бутылочное;;;Манго/маракуйя;3000
Campo Viejo Rose;15000;;Budweiser Budvar;2500;;Киви/лайм;3000
Jacob's Creek Classic Chardonnay б.сух;12000;;Miller 0,5;1800;;Коктейли алкогольные ;
Игристое вино;;;Corona  Extra 0,355;2500;;;
Lambrusco Bianco/ Rossato;;;Heineken ;2000;;;
Prosecco Martini;;;Guiness Draught;2600;;;
Asti Martini Ice/ Rose;;;Kozel;2600;;;
Café de Paris Brut/Rose;16500;;;;;;
Виски (50мл);;;Кофе (0,25, 0,35 мл );;;;
Ballantine`s Finest 3 YO;1900;;Американо ;990;;;
Jameson;2300;;Эспрессо ;790;;;
Chivas Regal 12YO;3400;;Эспрессо Тоник;1690;;;
Chivas Regal 18YO;4700;;Капучино ;1290;;;
Glelivet Reserve;4100;;Латте;1390;;Соки (0,25/1л);
Glelivet 12YO;4500;;Айс Капучино;1290;;Сок яблоко/апельсин/вишня/ананас;900/2000
Водка (50мл);;;Айс Латте;1390;;Вода и напитки (0,25,0,5);
Кызылжар 50мл;1100;;Фраппучино;1790;;Минеральная вода б/г,  с/г;600
Absolut Blue 50мл;1500;;Флэт Уайт;1390;;;
Gray Goose 50мл;;;Раф;1390;;Боржоми ;1600
Вермуты (100мл);;;Сироп в ассорт.;150;;Coca-cola/Sprite/Fanta ;1200
Martini Bianсo;;;Чай  (0,25/0,7);;;Red-bull;1500
Коньяк (50мл);;;Черный ;300/800;;Shweppes;1300
Казахстан 3YO 50мл;1400;;Зеленый;300/800;;;
Арарат 3YO 50мл;1400;;Марокканский;2200;;;
Арарат 5YO 50мл;1600;;Ташкентский ;2200;;;
Martell V.S;3300;;Малина-имбирь;2200;;К Чаю;
;;;Облепиха-апельсин;2200;;Шоколад мини;
Текила (50мл);;;Ягодный;2200;;Печенье Chunky;
Olmeca Blanco, Gold ;1800;;Чай с тары;2200;;Шоколад плитка Казахстан;
К пиву;;;молоко;200;;Шоколад плитка Alpin Gold;
Арахис;1400;;лимон;200;;Шоколад плитка Рахат Perfection;
Фисташки;1400;;мед;200;;;
Чечел;1400;;;;;;
Чипсы Lay's;1400;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Выпечка;;;;;;;
;;;;;;;
Клаб сендвич;1950;;;;;;
Круассан с курицей;1950;;;;;;
Круассан с семгой;2250;;;;;;
Панини с индейкой;1950;;;;;;
Черный бургер;3000;;;;;;
Десерты;;;;;;;
Тирамису классика;2900;;;;;;
Тирамису фисташка;3000;;;;;;
Панна-котта;2550;;;;;;
"""Павлова""";2750;;;;;;
